booktitle,author,key,title
,Geoffrey J. McLachlan,journals/tnn/NgM04,Using the EM algorithm to train neural networks: misconceptions and a new algorithm for multiclass classification.
STAIRS,Antonino Rotolo,conf/stairs/RiveretGR06,Argumentation Semantics for Temporal Defeasible Logic.
IROS,Dirk Schulz,conf/iros/MoorsRS05,A probabilistic approach to coordinated multi-robot indoor surveillance.
ICPR,Zijian Zhao,conf/icpr/Zhao14,Euclidean Structure from Conic Feature Correspondences.
,Alfred O. Hero III,journals/siamma/CalderEH14,A Hamilton-Jacobi Equation for the Continuum Limit of Nondominated Sorting.
IJCAI (1),Alexander Borgida,conf/ijcai/McGuinnessB95,Explaining Subsumption in Description Logics.
Canadian Conference on AI,Ali A. Ghorbani,conf/ai/KilfoilG05,SWAMI: Searching the Web Using Agents with Mobility and Intelligence.
IJCAI,Jürgen Schmidhuber,conf/ijcai/NgoLVS13,Upper Confidence Weighted Learning for Efficient Exploration in Multiclass Prediction with Binary Feedback.
WWW,S. Muthukrishnan,conf/www/BarfordCKMM14,Adscape: harvesting and analyzing online display ads.
,Shigeo Matsubara,journals/dss/YokooSM05,Robust double auction protocol against false-name bids.
,Terrence J. Sejnowski,journals/corr/SaremiS15,The Wilson Machine for Image Modeling.
,Yang Cao,journals/amc/MiaoC14,A note on GPIU method for generalized saddle point problems.
ICRA,Wolfram Burgard,conf/icra/BeinhoferKB13,Deploying artificial landmarks to foster data association in simultaneous localization and mapping.
ICDE,Steve Ford,conf/icde/PathakJF89,Object Exchange Service for an Object-Oriented Database System.
,Ja-Ling Wu,journals/tcsv/ChengCLHFCW08,Semantic Analysis for Automatic Event Recognition and Segmentation of Wedding Ceremony Videos.
,Chih-Jen Lin,journals/jmlr/WangL14,Iteration complexity of feasible descent methods for convex optimization.
,Tore Risch,journals/tkde/LitwinR92,Main Memory Oriented Optimization of OO Queries Using Typed Datalog with Foreign Predicates.
EUSIPCO,Tsuhan Chen,conf/eusipco/Chen96,On efficient implementation of multidimensional multirate filters derived from one-dimensional filters.
OAIR,Benno Stein,conf/riao/HagenGBS13,From search session detection to search mission detection.
Pervasive,James A. Landay,conf/pervasive/JiangCHWTL04,Siren: Context-aware Computing for Firefighting.
FLAIRS Conference,Dan I. Moldovan,conf/flairs/BlancoCM11,Commonsense Knowledge Extraction Using Concepts Properties.
IJCAI,Jude W. Shavlik,conf/ijcai/NatarajanJTKS11,Imitation Learning in Relational Domains: A Functional-Gradient Boosting Approach.
VLDB,Yi Chen 0001,conf/vldb/LiuWC07,XSeek: A Semantic XML Search Engine Using Keywords.
,Roy Rada,journals/cacm/Rada95,Consensus Versus Speed.
FGCS,Ehud Y. Shapiro,conf/fgcs/KligerYKS88,"The Language FCP(: , ?)."
SNS,Gilles Trédan,conf/sns/MerrerT09,Centralities: capturing the fuzzy notion of importance in social graphs.
ALGOSENSORS,Peter Widmayer,conf/algosensors/Chalopin0MPW13,Data Delivery by Energy-Constrained Mobile Agents.
,Alan F. Smeaton,journals/tcsv/KellyOS08,A Framework for Evaluating Stereo-Based Pedestrian Detection Techniques.
MSWiM,Klara Nahrstedt,conf/mswim/Nahrstedt08,Need for integrated quality of service and quality of protection in mobile systems.
AAAI,Matthew Kane,conf/aaai/MostowRHK94,A Prototype Reading Coach that Listens.
ACCV Workshops (1),Hongtao Lu,conf/accv/XingWL14,Action Recognition Using Hybrid Feature Descriptor and VLAD Video Encoding.
KR,Alessio Lomuscio,conf/kr/BelardinelliL08,A Complete First-Order Logic of Knowledge and Time.
ICWL,Yi Li,conf/icwl/YunCL06,Using VRML and JAVA to Build Virtual Game-Based Learning Environment for Addition and Subtraction Operation.
IJCAI,Meghyn Bienvenu,conf/ijcai/Bienvenu16,Ontology-Mediated Query Answering: Harnessing Knowledge to Get More from Data.
ISIT,H. Vincent Poor,conf/isit/TangLSP08,The Gaussian wiretap channel with a helping interferer.
ICNC,Jun Zhang,conf/icnc/LinZZ11,Discrete shuffled flog leaping algorithm for RNA secondary structure prediction.
ICMC,Roger B. Dannenberg,conf/icmc/Dannenberg94,Abstract Time Warping of Compound Events and Signals.
CAV,Michaël Rusinowitch,conf/cav/BerregebBR96,Automated Verification by Induction with Associative-Commutative Operators.
SIGMOD Conference,Michael Rys,conf/sigmod/Rys05,XML and relational database management systems: inside Microsoft SQL Server 2005.
SIGIR,Maarten de Rijke,conf/sigir/CaiR16,Selectively Personalizing Query Auto-Completion.
KDD,Philip S. Yu,conf/kdd/AggarwalXY11,On dynamic data-driven selection of sensor streams.
SIGMOD Conference,Hongkun Zhao,conf/sigmod/LiuMQYRWLHZ07,AllInOneNews: development and evaluation of a large-scale news metasearch engine.
,Donald F. Towsley,journals/jsac/NagarajanKT91,Approximation Techniques for Computing Packet Loss in Finite-Buffered Voice Multiplexers.
,Jiawei Han,journals/kais/TzvetkovYH05,TSP: Mining top-
