booktitle,author,key,title
TREC,David A. Evans,conf/trec/TongZME96a,OCR Correction and Query Expansion for Retrieval on OCR Data -- CLARIT TREC-5 Confusion Track Report.
ICME,Kuo Chu Lee,conf/icmcs/DoermannKPKCOML03,"Issues in the transmission, analysis, storage and retrieval of surveillance video."
CIKM,Klemens Böhm,conf/cikm/KarwegHB11,Evolving social search based on bookmarks and status messages from social networks.
CDC,Ali Jadbabaie,conf/cdc/AugustPRRJ08,Determining interconnections in biochemical networks using linear programming.
ICASSP (3),H. Vincent Poor,conf/icassp/SungTP05,A large deviations approach to sensor scheduling for detection of correlated random fields.
VISAPP (1),Yizhou Yu,conf/visapp/LiuY13,Medical Volume Segmentation based on Level Sets of Probabilities.
WWW,Elizabeth M. Belding,conf/www/VigilRB15,A First Look at Tribal Web Traffic.
DL,Hector Garcia-Molina,conf/dl/ShivakumarG95,SCAM: A Copy Detection Mechanism for Digital Documents.
ICASSP,Yi Xu,conf/icassp/ZengX16,Saliency detection using tensor sparse reconstruction residual analysis.
,Yasuo Ariki,journals/ejasmp/AiharaFNTA15,Small-parallel exemplar-based voice conversion in noisy environments using affine non-negative matrix factorization.
SIGMOD Conference,Guy M. Lohman,conf/sigmod/MackertL86,R* Optimizer Validation and Performance Evaluation for Local Queries.
DARe@ECAI,Gavin Rens,conf/ecai/Rens16a,A Stochastic Belief Change Framework with an Observation Stream and Defaults as Expired Observations.
COMAD,Prithviraj Sen,conf/comad/Sen10,Representing Large-Scale Uncertainty through Probabilistic Databases.
EMO,Pierre Savéant,conf/emo/KhouadjiaSVDS13,Multi-objective AI Planning: Evaluating DaE YAHSP on a Tunable Benchmark.
AAMAS,Shinichi Honiden,conf/atal/IshikawaTYH05,Agent synthesis: partnership and agreement in cooperative mobile agents.
IJCAI,Xiaoping Chen,conf/ijcai/WuRC16,Coordinating Human-UAV Teams in Disaster Response.
,Pascal Van Hentenryck,journals/constraints/LamH16,A branch-and-price-and-check model for the vehicle routing problem with location congestion.
ICIP,Hanqing Lu,conf/icip/ZhuWL14,Object tracking with part-based discriminative context models.
ISDA,Mineichi Kudo,conf/isda/YasudaK12,Speech rate change detection in martingale framework.
,Christos H. Papadimitriou,journals/jacm/Papadimitriou79b,The serializability of concurrent database updates.
Web Intelligence,Lee-Feng Chien,conf/webi/HuangLC05,Automatic Training Corpora Acquisition through Web Mining.
,Thomas J. Cook,journals/sigmod/Cook81,Database Directions III Workshop Review.
EMNLP,Giuseppe Carenini,conf/emnlp/MurrayC08,Summarizing Spoken and Written Conversations.
Big Data,Feifei Li 0001,conf/bigdataconf/DuL15,"ATOM: Automated tracking, orchestration and monitoring of resource usage in infrastructure as a service systems."
,Ümit V. Çatalyürek,journals/tpds/DeveciRDC16,Multi-Jagged: A Scalable Parallel Spatial Partitioning Algorithm.
,Alberto L. Sangiovanni-Vincentelli,journals/tcad/YuanQVS08,An FSM Reengineering Approach to Sequential Circuit Synthesis by State Splitting.
ICSI (2),Weihong Han,conf/swarm/LiuWH13,Measuring Micro-blogging User Influence Based on User-Tweet Interaction Model.
Pacific Conference on Computer Graphics and Applications,Reinhard Klein,conf/pg/NagyMK04,Classification for Fourier Volume Rendering.
CIKM,Jian-Yun Nie,conf/cikm/KadriN06,Improving query translation with confidence estimation for cross language information retrieval.
ICDE,Longbing Cao,conf/icde/WangSC13,Coupled clustering ensemble: Incorporating coupling relationships both between base clusterings and objects.
,Greg Siegle,journals/neuroimage/ZhouTS09,MATLAB toolbox for functional connectivity.
ICMR,Belle L. Tseng,conf/mir/KennedyZTT11,Learning crop regions for content-aware generation of thumbnail images.
VLDB,Michel A. Melkanoff,conf/vldb/GardarinM79,Proving Consistency of Database Transactions.
,Dieter Gawlick,journals/debu/Gawlick94,High Performance TP Monitors - Do We Still Need to Develop Them?
ECAI,Sanjiang Li,conf/ecai/LiuL12,"Here, There, but Not Everywhere: An Extended Framework for Qualitative Constraint Satisfaction."
,Daphna Weinshall,journals/cviu/ZabrodskyW97,Using Bilateral Symmetry to Improve 3D Reconstruction from Image Sequences.
,Jie Wang,journals/jct/FangLW07,On transitive one-factorizations of arc-transitive graphs.
Smart Graphics,Walter F. Bischof,conf/sg/TaylorKBGB07,Multi-modal Interface for Fluid Dynamics Simulations Using 3-D Localized Sound.
ADT,Paul Weng,conf/aldt/OgryczakPW11,On Minimizing Ordered Weighted Regrets in Multiobjective Markov Decision Processes.
,David K. Hsiao,journals/tse/DemurjianH88,Towards a Better Understanding of Data Models Through the Multilingual Database System.
ICRA,Wolfram Burgard,conf/icra/GrzonkaGB09,Towards a navigation system for autonomous indoor flying.
GPC,Terran Lane,conf/gpc/QiuYL06,Efficient Target Detection for RNA Interference.
,Michel de Rougemont,journals/eccc/ECCC-TR01-051,Probabilistic abstraction for model checking: An approach based on property testing
,Alvis Cheuk M. Fong,journals/ijwis/ZhouHF05,A Web Usage Lattice Based Mining Approach for Intelligent Web Personalization.
FSTTCS,Richard C. T. Lee,conf/fsttcs/FuL90,Voronoi Diagrams of Moving Points in the Plane.
HASE,Gilles Trédan,conf/hase/BertierMT10,Low-Cost Secret-Sharing in Sensor Networks.
,Tadahiro Ohmi,journals/iasc/ChenKTPO04,"Robust Face Detection Combined Skin Color Features, Template Matching and VQ Histogram Method in Practical Environments."
,Ting Chen,journals/jcisd/DuttaGJC06,Scalable Partitioning and Exploration of Chemical Spaces Using Geometric Hashing.
,Ofer Zeitouni,journals/siamco/PardouxZ04,Quenched Large Deviations for One Dimensional Nonlinear Filtering.
ICSOC,Marios D. Dikaiakos,conf/icsoc/CopilTTMPDD14,ADVISE - A Framework for Evaluating Cloud Service Elasticity Behavior.
,Erik Sandewall,journals/etai/Sandewall97a,Logic-Based Modelling of Goal-Directed Behavior.
EMNLP,Christopher D. Manning,conf/emnlp/AndrewGM04,Verb Sense and Subcategorization: Using Joint Inference to Improve Performance on Complementary Task.
IWANN (1),Edwin R. Hancock,conf/iwann/WilsonH99,Storage Capacity of the Exponential Correlation Associative Memory.
DASIP,Zhen Zhang,conf/dasip/DjemalSPWPZ12,Programmable routers for efficient mapping of applications onto NoC-based MPSoCs.
CCCV (1),Jian-Huang Lai,conf/cccv/FengYL15,Learning Blur Invariant Face Descriptors for Face Verification Under Realistic Environment.
ITG Conference on Speech Communication,Dietrich Klakow,conf/ITGspeech/BraunFK12,A Comparative Study of Missing Feature Imputation Techniques.
ICASSP,Antonio Ortega,conf/icassp/LinO10,Reconstruction algorithm for high contrast velocity travel time tomography.
ICML,Tobias Scheffer,conf/icml/HaiderBS07,Supervised clustering of streaming data for email batch detection.
INLG,Robert Dale,conf/inlg/ViethenD06,Algorithms for Generating Referring Expressions: Do They Do What People Do?
CVPR,Edwin R. Hancock,conf/cvpr/WorthingtonH99,Data-Driven Shape-from-Shading Using Curvature Consistency.
ACL (1),Alessandro Moschitti,conf/acl/PlankM13,Embedding Semantic Similarity in Tree Kernels for Domain Adaptation of Relation Extraction.
ICRA,Sebastian Thrun,conf/icra/AnguelovKPT04,Detecting and Modeling Doors with Mobile Robots.
,Songchun Moon,journals/jsa/KangM93,Global query management in heterogeneous distributed database systems.
,Richard Goodwin,journals/ecra/LeeG06,Ontology management for large-scale enterprise systems.
ICS,C. Seshadhri,conf/innovations/KaleS11,Combinatorial Approximation Algorithms for MaxCut using Random Walks.
Intellectics and Computational Logic,Christoph S. Herrmann,conf/birthday/Herrmann00,AI and Cognitive Science: Feedback Leads to a New Neural Concept.
TPDL,Michael L. Nelson,conf/ercimdl/PrellwitzN11,Music Video Redundancy and Half-Life in YouTube.
,Etienne Barnard,journals/saj/DykB08,Naive Bayesian classifiers for multinomial features: a theoretical analysis.
FSKD,Li Ma,conf/fskd/Ma11,Clarification on linguistic applications of Fuzzy Set Theory to natural language analysis.
EDOCW,Gerd Wagner,conf/edoc/Wagner11,Ontologies and Rules for Enterprise Modeling and Simulation.
,Ann Nowé,journals/corr/HarutyunyanBVN14,Off-Policy Shaping Ensembles in Reinforcement Learning.
UAI,David Heckerman,conf/uai/HorvitzH85,The Inconsistent Use of Measures of Certainty in Artificial Intelligence Research.
ICML,Paul E. Utgoff,conf/icml/StracuzziU02,Randomized Variable Elimination.
KR,Raymond Reiter,conf/kr/LinR94,How to Progress a Database (and Why) I. Logical Foundations.
ICIP,Jan P. Allebach,conf/icip/ShenXA14,Kernel tapering: A simple and effective approach to sparse kernels for image processing.
Big Data,Lionel M. Ni,conf/bigdataconf/ZhengWQMN15,Visual analysis of bi-directional movement behavior.
ICIC (1),Yang Yu,conf/icic/GaoNLY10,An Improved Image Rectification Algorithm Based on Particle Swarm Optimization.
NCA,Radek Vingralek,conf/nca/SayalSV03,Content Replication in Web++.
MMSP,Tsutomu Miyasato,conf/mmsp/Miyasato99,Generation of emotion spaces based on the synesthesia phenomenon.
PPOPP,Hideaki Kimura,conf/ppopp/WangCK16,Be my guest: MCS lock now welcomes guests.
,Alan F. Smeaton,journals/paa/ConaireOS12,Online adaptive feature weighting for spatiogram-bank tracking.
WI-IAT (2),Jiajun Chen,conf/webi/ZhangLWLC14,Mapping Word Senses of Middle Ancient Chinese to WordNet.
,Chong-Sun Hwang,journals/jcst/ParkCH07,An Efficient Data Dissemination Scheme for Spatial Query Processing.
SIGGRAPH Posters,Scott E. Hudson,conf/siggraph/ChenCMH15,"Encore: 3D printed augmentation of everyday objects with printed-over, affixed and interlocked attachments."
,Xiang Li,journals/sensors/YouLWWL14,Dynamic Compressed HRRP Generation for Random Stepped-Frequency Radar Based on Complex-Valued Fast Sequential Homotopy.
,Xin Hu,journals/eswa/JiangLYWH11,A new hybrid method based on partitioning-based DBSCAN and ant clustering.
ICMLC,Marco Pellegrini,conf/icmlc/FelicioliGP11,Medium sized crawling made fast and easy through Lumbricus webis.
,Randall D. Beer,journals/jlp/SterlingB89,Metainterpreters for Expert System Construction.
HLT-NAACL,Dan Roth,conf/naacl/SongR15,Unsupervised Sparse Vector Densification for Short Text Similarity.
,Alexander Russell,journals/eccc/ECCC-TR02-030,Inapproximability Results for Equations over Finite Groups
CIDR,Michalis Petropoulos,conf/cidr/KowalczykowskiOZDPP09,Do-It-Yourself custom forms-driven workflow applications.
MFCS,François Bancilhon,conf/mfcs/SpyratosB78,Name Independence and Database Abstraction in the Relational Model.
,Diane J. Cook,journals/pervasive/KimHC10,Human Activity Recognition and Pattern Discovery.
SIGIR,Jimmy J. Lin,conf/sigir/MishneL12,Twanchor text: a preliminary study of the value of tweets as anchor text.
,Gautam Das,journals/pvldb/Jin0MD11,Randomized Generalization for Aggregate Suppression Over Hidden Web Databases.
CDC-ECE,Gregory M. Provan,conf/cdc/MadyP11,Co-design of Wireless Sensor-Actuator Networks for building controls.
NIPS,Alan S. Willsky,conf/nips/SanghaviMW07,Linear programming analysis of loopy belief propagation for weighted matching.
AAMAS,Ana Paiva,conf/atal/HoDFP07,Agents that remember can tell stories: integrating autobiographic memory into emotional agents.
,Sewoong Oh,journals/corr/abs-1110-3018,Robust Localization from Incomplete Local Information
ICIMCS,Shuicheng Yan,conf/icimcs/FengNY10,Auto-generation of professional background music for home-made videos.
HICSS (2),Per-Åke Larson,conf/hicss/ZhuP94,Establishing a Fuzzy Cost Model for Query Optimization in a Multidatabase System.
,Janice S. Aikins,journals/ai/Aikins93,Prototypical Knowledge for Expert Systems: A Retrospective Analysis.
,Huei Diana Lee,journals/ijon/SpolaorMTL16,A systematic review of multi-label feature selection and a new method based on label construction.
ISBI,Michael Unser,conf/isbi/NilchianU12,Differential phase-contrast X-ray computed tomography: From model discretization to image reconstruction.
IDA,Fabio Mercorio,conf/ida/MezzanzanicaBCM11,Data Quality through Model Checking Techniques.
CIKM,Kevin Tiene,conf/cikm/RossBT95,MessageWorld: A New Approach to Facilitating Asynchronous Group Communications.
,Andrew Lim,journals/eor/JinZL15,Solving the container relocation problem by an improved greedy look-ahead heuristic.
,Jacques Savoy,journals/ail/Savoy93,Searching information in legal hypertext systems.
,Michael Smith,journals/ac/GarousiKS13,Test Cost-Effectiveness and Defect Density: A Case Study on the Android Platform.
CPAIOR,John N. Hooker,conf/cpaior/CireCH13,Mixed Integer Programming vs. Logic-Based Benders Decomposition for Planning and Scheduling.
ISC,Chris Clifton,conf/isw/LeeC11,How Much Is Enough? Choosing ε for Differential Privacy.
,Jon McCormack,journals/creativity/BownM10,Taming nature: tapping the creative potential of ecosystem models in the arts.
IAS,Masayuki Inaba,conf/ias/AdachiKOI06,Load Distributed Whole-body Motion Generation Method for Humanoids by Minimizing Average Joint Torque Ratio.
,Eamonn J. Keogh,journals/kais/PetitjeanFWNCK16,Faster and more accurate classification of time series by exploiting a novel dynamic time warping averaging algorithm.
,Yuan Wang,journals/ijmc/KimKW16,Selective exposure to podcast and political participation: the mediating role of emotions.
PODS,Sebastian Skritek,conf/pods/LetelierPPS12,Static analysis and optimization of semantic web queries.
,Finnegan Southey,journals/ml/SchuurmansS02,Metric-Based Methods for Adaptive Model Selection and Regularization.
,Jörg H. Siekmann,journals/ki/Siekmann09,Die Entwicklung der Disziplin in Deutschland.
LICS,Val Tannen,conf/lics/Breazu-Tannen88a,Combining Algebra and Higher-Order Types
,Tao Chen,journals/tcs/ChenLC13,Optimal fault-tolerant routing algorithm and fault-tolerant diameter in directed double-loop networks.
TrustBus,Günther Pernul,conf/trustbus/FritschNRP10,Attacking Image Recognition Captchas - A Naive but Effective Approach.
GECCO (2),David E. Goldberg,conf/gecco/PedersenG04,Dynamic Uniform Scaling for Multiobjective Genetic Algorithms.
EKAW,David Stuart Robertson,conf/ekaw/KalfoglouR99,Use of Formal Ontologies to Support Error Checking in Specifications.
STOC,Rajeev Motwani,conf/stoc/CharikarCFM97,Incremental Clustering and Dynamic Information Retrieval.
SODA,Ran El-Yaniv,conf/soda/BachrachE97,Online List Accessing Algorithms and Their Applications: Recent Empirical Evidence.
,Yangyong Zhu,journals/jcst/DengZ05,L-Tree Match: A New Data Extraction Model and Algorithm for Huge Text Stream with Noises.
GECCO (Companion),Marco Dorigo,conf/gecco/LiaoMSOD12,An ACO algorithm benchmarked on the BBOB noiseless function testbed.
CATS,James Harland,conf/cats/SilvaDH07,Planning with Time Limits in BDI Agent Programming Languages.
WECWIS,Michael Schrefl,conf/wecwis/PreunerS02,Integration of Web Services into Workflows through a Multi-Level chema Architecture.
SummerSim,Robert Smith,conf/scsc/SalemS16,A mathematical model of ebola virus disease: using sensitivity analysis to determine effective intervention targets.
,Gao Cong,journals/datamine/SimGZC13,A survey on enhanced subspace clustering.
AVSS,Ying-li Tian,conf/avss/ShuHLBCST05,IBM smart surveillance system (S3): a open and extensible framework for event based surveillance.
ICASSP,Mario Hernández-Tejera,conf/icassp/Hernandez-SosaCFH95,SVEX: a knowledge-based tool for image segmentation.
,Xiang Ji,journals/eswa/ZhangCCZJ06,Splice site prediction using support vector machines with a Bayes kernel.
,Lionel M. Ni,journals/dsonline/ZhengN06,Spotlight: The Rise of the Smart Phone.
,Piotr J. Gmytrasiewicz,journals/aim/TambeG97,AAAI-96 Workshop on Agent Modeling (Workshop Report).
From Active Data Management to Event-Based Systems and More,Ralf Steinmetz,conf/birthday/LehnTGSSEKS10,Designing Benchmarks for P2P Systems.
AAMAS,Shlomo Zilberstein,conf/atal/GoldmanAZ04,Decentralized Language Learning through Acting.
,David A. Bell,phd/ethos/Bell96,Information handling and pattern discovery.
,Dacheng Tao,journals/corr/LiuSWLT16,Elastic Net Hypergraph Learning for Image Clustering and Semi-supervised Classification.
,Bo Yuan,journals/tip/WangGWHY16,Multimodal Discriminative Binary Embedding for Large-Scale Cross-Modal Retrieval.
PODS,Srujana Merugu,conf/pods/DalviKPRTBKM09,A web of concepts.
FSTTCS,Jian Lu,conf/fsttcs/ChenHL05,On the Bisimulation Congruence in 
CVPR,Nathan S. Netanyahu,conf/cvpr/EastmanMN07,Research issues in image registration for remote sensing.
GI Jahrestagung (2),Andreas Henrich,conf/gi/EisenhardtMH03,Classifying Documents by Distributed P2P Clustering.
Human.Society@Internet 2003,Chong-Sun Hwang,conf/human/BaikYSH03,Message Transferring Model between Mobile Agents in Multi-region Mobile Agent Computing Environment.
,Mohamed Cheriet,journals/corr/MoghaddamC14,Spiralet Sparse Representation.
GvD,Michael Gertz,conf/gvd/HagedornSG15,Large-scale Analysis of Event Data.
ILP,Stefan Wrobel,conf/ilp/WelkeHW14,On the Complexity of Frequent Subtree Mining in Very Simple Structures.
ICCV,Guillermo Sapiro,conf/iccv/RotherPS07,What Can Casual Walkers Tell Us About A 3D Scene?
,João Marques-Silva,journals/corr/abs-0910-3913,How to Complete an Interactive Configuration Process?
WWW (Companion Volume),Denilson Barbosa,conf/www/RadB11,Towards identifying arguments in Wikipedia pages.
,Wen-Lian Hsu,journals/icae/LinCDTDH09,A supervised learning approach to biological question answering.
VLDB,K. Selçuk Candan,conf/vldb/SawiresTPAAC06,Maintaining XPath Views In Loosely Coupled Systems.
BigMine,Ramana Rao Kompella,conf/kdd/AhmedNK12,Space-efficient sampling from social activity streams.
VLDB,Joel H. Saltz,conf/vldb/CarinoOBS99,"Active Storage Hierarchy, Database Systems and Applications - Socratic Exegesis."
ECIR,Fazli Can,conf/ecir/ErcanC09,Cover Coefficient-Based Multi-document Summarization.
,Douglas Fisher,journals/tse/SrinivasanF95,Machine Learning Approaches to Estimating Software Development Effort.
"Computer Vision, A Reference Guide",Robert B. Fisher,reference/vision/Fisher14,Subpixel Estimation.
,Richard G. Baraniuk,journals/tip/DuarteB12,Kronecker Compressive Sensing.
,Shiva Prasad Kasiviswanathan,journals/corr/abs-cs-0605029,Spanners for Geometric Intersection Graphs
ICIAP,Michael J. Brooks,conf/iciap/ChojnackiB07,A Consistency Result for the Normalized Eight-Point Algorithm.
ICLP,Mehmet Dincbas,conf/iclp/HentenryckD87,Forward Checking in Logic Programming.
,Kazuyuki Aihara,journals/neco/HamaguchiOYA05,Correlated Firing in a Feedforward Network with Mexican-Hat-Type Connectivity.
Recent Advances in Formal Languages and Applications,Mitsunori Ogihara,series/sci/Ogihara06,Molecular Computation.
KDD,Daniel Boley,conf/kdd/WangBB11,Common component analysis for multiple covariance matrices.
ICDE,Toneluh Andrew Yang,conf/icde/ShekharY92,MoBiLe Files and Efficient Processing of Path Queries on Scientific Data.
International Semantic Web Conference,Vassilis Christophides,conf/semweb/FlourisFPTC09,Coloring RDF Triples to Capture Provenance.
IJCAI,William A. Kornfeld,conf/ijcai/Kornfeld79,ETHER - A Parallel Problem Solving System.
IEEE CLOUD,Anna Liu,conf/IEEEcloud/LuXZBLSBL13,Incorporating Uncertainty into In-Cloud Application Deployment Decisions for Availability.
NOMS,Bhavani M. Thuraisingham,conf/noms/YurcikWHKT08a,Measuring anonymization privacy/analysis tradeoffs inherent to sharing network data.
,Yu Zheng,journals/sigkdd/MaLWCNXLWZ11,A conversation with MSRA researchers.
IJCNN,Stefan Schaal,conf/ijcnn/PetersS06,Reinforcement Learning for Parameterized Motor Primitives.
BIOSIGNALS,Germán Castellanos-Domínguez,conf/biostec/Duque-MunozGC13,A Channel Selection Method for EEG Classification based on Exponentially Damped Sinusoidal Model and Stochastic Relevance Analysis.
ICRA,Kurt Konolige,conf/icra/Marder-EppsteinBFGK10,The Office Marathon: Robust navigation in an indoor office environment.
AFIPS National Computer Conference,G. Jack Lipovski,conf/afips/Lipovski77,An organization for optical linkages between integrated circuits.
RTCSA (1),Tatsuo Nakajima,conf/rtcsa/YoshiiFKN11,iDetective: A Location Based Game to Persuade Users Unconsciously.
MLG@KDD,Samuel Kaski,conf/mlg/ParkkinenNPK10,Graph visualization with latent variable models.
,Yann LeCun,journals/jfr/SermanetHSGBECML09,A multirange architecture for collision-free off-road robot navigation.
,Michael Wooldridge,journals/ai/DunneKMW10,Solving coalitional resource games.
,Jian Sun 0001,journals/corr/DaiH015,BoxSup: Exploiting Bounding Boxes to Supervise Convolutional Networks for Semantic Segmentation.
IFIPTM,Mourad Debbabi,conf/ifiptm/LaverdiereMSD07,Control Flow Based Pointcuts for Security Hardening Concerns.
,Richard E. Turner,journals/corr/StowellT15,Denoising without access to clean data using a partitioned autoencoder.
ICC,Jiangchuan Liu,conf/icc/ChengWL08,Hybrid PUSH-PULL for Data Diffusion in Sensor Networks without Location Information.
,Yi-Ping Phoebe Chen,journals/is/BegleyHC16,PaMeCo join: A parallel main memory compact hash join.
,Haizhou Li,journals/taslp/NweSML12,Speaker Clustering and Cluster Purification Methods for RT07 and RT09 Evaluation Meeting Data.
COLT,Taiji Suzuki,journals/jmlr/KanamoriTS12,A Conjugate Property between Loss Functions and Uncertainty Sets in Classification Problems.
PRICAI,Gordon I. McCalla,conf/pricai/TangM04,Beyond Learners' Interest: Personalized Paper Recommendation Based on Their Pedagogical Features for an e-Learning System.
ICCV,Yi Ma,conf/iccv/ZhangLM11,Unwrapping low-rank textures on generalized cylindrical surfaces.
GECCO (Companion),Kenneth O. Stanley,conf/gecco/Stanley12a,Generative and developmental systems.
UIST,Jeffrey Heer,conf/uist/GuoKHH11,Proactive wrangling: mixed-initiative end-user programming of data transformation scripts.
IGARSS,Jianmin Wang,conf/igarss/RaoCCW13,Quantitative assessment of the different methods addressing the endmember variability.
CEC/EEE,Chengqi Zhang,conf/wecwis/WangZ06,Dynamic Focus Strategies for Electronic Trade Execution in Limit Order Markets.
DEXA,Mohand-Said Hacid,conf/dexa/BellahseneH99,A Knowledge Based Approach for Modeling and Query Multidimensional Databases.
FOCS,Éva Tardos,conf/focs/GoldbergPT88,Combinatorial Algorithms for the Generalized Circulation Problem
AAAI Fall Symposium: Commonsense Knowledge,Henry Lieberman,conf/aaaifs/KrishnamurthyL10,CrossBridge: Finding Analogies Using Dimensionality Reduction.
,Wen-Lian Hsu,journals/talip/JiangLH13,The Left and Right Context of a Word: Overlapping Chinese Syllable Word Segmentation with Minimal Context.
,Philip S. Yu,journals/tkde/FungWY07,Anonymizing Classification Data for Privacy Preservation.
,Ling Liu,journals/kais/GedikWYL07,CPU load shedding for binary stream joins.
,Shai Avidan,journals/tog/RubinsteinSA09,Multi-operator media retargeting.
ISCIS,Cevdet Aykanat,conf/iscis/CambazogluCA06,Effect of Inverted Index Partitioning Schemes on Performance of Query Processing in Parallel Text Retrieval Systems.
ISCSLP,Bo Xu,conf/iscslp/DongTX06,Prosodic Word Prediction Using a Maximum Entropy Approach.
ICPP Workshops,Louiqa Raschid,conf/icppw/BrightR00,Efficient Remote Data Access in a Mobile Computing Environment.
,John Mylopoulos,journals/re/AsnarGM11,Goal-driven risk assessment in requirements engineering.
WOWS,Monika Rauch Henzinger,conf/dl/BharatBDH99,A Comparison of Techniques to Find Mirrored Hosts on the WWW.
ICTAI (1),Eamonn J. Keogh,conf/ictai/KasettySWWK08,Real-Time Classification of Streaming Sensor Data.
FoIKS,Marc Denecker,conf/foiks/ArieliD02,Modeling Paraconsistent Reasoning by Classical Logic.
OTM Conferences (1),Roman Schindlauer,conf/otm/PolleresSS07,SPARQL++ for Mapping Between RDF Vocabularies.
ICRA,Jean-Paul Laumond,conf/icra/SimeonLL98,A Collision Checker for Car-Like Robots Coordination.
,Azriel Rosenfeld,journals/prl/Rosenfeld85a,Distances between fuzzy sets.
ADBIS,Pavel Zezula,conf/adbis/BudikovaBZ12,Query Language for Complex Similarity Queries.
CSF,Michaël Rusinowitch,conf/csfw/ChridiTR09,Decidable Analysis for a Class of Cryptographic Group Protocols with Unbounded Lists.
,Jun Liu,journals/spe/RoantreeL14,A heuristic approach to selecting views for materialization.
VTC Fall,Ivan Marsic,conf/vtc/ZhangM06a,Link Quality and Signal-to-Noise Ratio in 802.11 WLAN with Fading: A Time-Series Analysis.
,Soon Myoung Chung,journals/grid/MuppavarapuC09,Role-Based Access Control in a Data Grid Using the Storage Resource Broker and Shibboleth.
DEXA (2),Qing Li,conf/dexa/WangGCCL12,All-Visible-k-Nearest-Neighbor Queries.
AAMAS,Sandip Sen,conf/atal/CrawfordBS13,Opposites repel: the effect of incorporating repulsion on opinion dynamics in the bounded confidence model.
,Thad Starner,journals/jmlr/KohlsdorfS13,MAGIC summoning: towards automatic suggesting and testing of gestures with low probability of false positives during use.
SDM,Yan Liu,conf/sdm/KaleGRHL15,Hierarchical Active Transfer Learning.
MDAI,Takayuki Ito,conf/mdai/HadfiI14,Modeling Complex Nonlinear Utility Spaces Using Utility Hyper-Graphs.
,Peng Yu,journals/mmas/DuLY05,FENE Dumbbell Model and Its Several Linear and Nonlinear Closure Approximations.
,Nick Chater,journals/mima/PickeringC95,Why cognitive science is not formalized folk psychology.
,Gunnar Rätsch,journals/bmcbi/SonnenburgSPBR07,Accurate splice site prediction using support vector machines.
SIGMETRICS,Milan Vojnovic,conf/sigmetrics/NguyenV11,Weighted proportional allocation.
ICML,Ole Winther,conf/icml/MaaloeSSW16,Auxiliary Deep Generative Models.
,Frank Kirchner,journals/ki/Kirchner14,Special Issue on Space Robotics.
CASE,Ming Dong,conf/case/WuD06,Performance analysis of complex supply chain networks with multi-product.
SAT,Alex S. Fukunaga,conf/sat/Fukunaga04,Efficient Implementations of SAT Local Search.
CAiSE,Steven Versteeg,conf/caise/YuHGV13,A Business Protocol Unit Testing Framework for Web Service Composition.
VLDB,Michael Gertz,conf/vldb/ZinnBG07,Modeling and Querying Vague Spatial Objects Using Shapelets.
KES (2),Yoshiteru Ishida,conf/kes/WatanabeI06,Migration Strategies of Immunity-Based Diagnostic Nodes for Wireless Sensor Network.
ISCAS,Andreas G. Andreou,conf/iscas/OzgunLTPA11,A low-power 8-bit SAR ADC for a QCIF image sensor.
,Peter C. Lockemann,journals/ki/PulterNL10,"Störungsmanagement in offenen, getakteten Logistiknetzen."
DBSec,Bhavani M. Thuraisingham,conf/dbsec/LinHMT95,Security and Data Mining.
SocialCom/PASSAT,Harith Alani,conf/socialcom/WagnerRSA12,Ignorance Isn't Bliss: An Empirical Analysis of Attention Patterns in Online Communities.
UIST,Daniel Oblinger,conf/uist/BergmanCLO05,DocWizards: a system for authoring follow-me documentation wizards.
KDD,Kian-Lee Tan,conf/kdd/XueKRVT12,Anonymizing set-valued data by nonreciprocal recoding.
AAMAS,Kate Larson,conf/atal/LokerL10,An investigation of representations of combinatorial auctions.
ACM Multimedia,Antonio Si,conf/mm/ChimGLLS98,On Caching and Prefetching of Virtual Objects in Distributed Virtual Environments.
IFIP Congress,Vladimir Lifschitz,conf/ifip/Lifschitz89,Logical Foundations of Deductive Databases.
,Shih-Fu Chang,journals/corr/PappasRTJLCC16,Multilingual Visual Sentiment Concept Matching.
,Jean-Jacques E. Slotine,journals/ijon/CannonS95,Space-frequency localized basis function networks for nonlinear system estimation and control.
MobiHoc,Feng Zhao,conf/mobihoc/LiCBZ14,An extensible and flexible truthful auction framework for heterogeneous spectrum markets.
,Pheng-Ann Heng,journals/jgtools/FuWH98,Triangle-Based View Interpolation without Depth-Buffering.
DAGM-Symposium,Gerald Sommer,conf/dagm/PauliS00,Compatibilities for Boundary Extraction.
,Floriana Esposito,journals/ws/FanizzidE12,Induction of robust classifiers for web ontologies through kernel machines.
SMC,Gregg T. Vesonder,conf/smc/Vesonder11,The effect of environmental dynamism on evolution and evolvability.
,Ron Alterovitz,journals/tase/BowenYA15,Asymptotically Optimal Motion Planning for Learned Tasks Using Time-Dependent Cost Maps.
,Robert L. Grossman,journals/fgcs/ZhangLDMG03,TeraScope: distributed visual data mining of terascale data sets over photonic networks.
EUROSPEECH,Renato de Mori,conf/interspeech/NasrEBSM99,A language model combining n-grams and stochastic finite state automata.
PNPM,Luigi Portinale,conf/pnpm/BobbioFGP99,Exploiting Petri nets to support fault tree based dependability analysis.
ECCV (5),Martial Hebert,conf/eccv/GiornoBH16,A Discriminative Framework for Anomaly Detection in Large Videos.
